#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 98% free electrons without dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -2.00 -4.00 0.0227 0.0000 0.0442 0.0000 0.1291 0.0000 0.0000 0.0482 0.0799 0.0000 0.0000 0.0830 0.0184 0.0043 0.0109 0.0140 0.0020
8.1 -2.00 -3.75 0.0172 0.0000 0.0498 0.0011 0.1164 0.0000 0.0000 0.0734 0.1129 0.0000 0.0000 0.1162 0.0462 0.0106 0.0272 0.0137 0.0019
8.1 -2.00 -3.50 0.0122 0.0000 0.0549 0.0035 0.0991 0.0000 0.0000 0.1042 0.1512 0.0000 0.0010 0.1548 0.1134 0.0250 0.0665 0.0125 0.0018
8.1 -2.00 -3.25 0.0084 0.0000 0.0588 0.0100 0.0799 0.0000 0.0000 0.1371 0.1880 0.0000 0.0045 0.1915 0.2388 0.0494 0.1398 0.0103 0.0015
8.1 -2.00 -3.00 0.0053 0.0000 0.0613 0.0262 0.0596 0.0000 0.0000 0.1702 0.2195 0.0000 0.0133 0.2228 0.4155 0.0801 0.2426 0.0073 0.0010
8.1 -2.00 -2.75 0.0033 0.0000 0.0621 0.0599 0.0412 0.0000 0.0000 0.1998 0.2402 0.0000 0.0261 0.2431 0.5855 0.1061 0.3402 0.0047 0.0000
8.1 -2.00 -2.50 0.0019 0.0000 0.0606 0.1227 0.0266 0.0000 0.0000 0.2232 0.2482 0.0000 0.0400 0.2507 0.7163 0.1234 0.4118 0.0028 0.0000
8.1 -2.00 -2.25 0.0011 0.0000 0.0568 0.2276 0.0164 0.0000 0.0000 0.2397 0.2428 0.0000 0.0542 0.2446 0.8049 0.1323 0.4540 0.0016 0.0000
8.1 -2.00 -2.00 0.0000 0.0011 0.0506 0.3813 0.0098 0.0018 0.0000 0.2506 0.2235 0.0000 0.0694 0.2247 0.8568 0.1337 0.4685 0.0000 0.0000
8.1 -2.00 -1.75 0.0000 0.0019 0.0423 0.5788 0.0058 0.0031 0.0018 0.2573 0.1924 0.0020 0.0868 0.1929 0.8830 0.1288 0.4613 0.0000 0.0000
8.1 -2.00 -1.50 0.0000 0.0028 0.0329 0.7988 0.0034 0.0046 0.0037 0.2615 0.1535 0.0041 0.1063 0.1535 0.8884 0.1185 0.4366 0.0000 0.0000
8.1 -2.00 -1.25 0.0000 0.0038 0.0238 1.0082 0.0020 0.0062 0.0073 0.2641 0.1130 0.0082 0.1267 0.1127 0.8753 0.1044 0.3993 0.0000 0.0000
8.1 -2.00 -1.00 0.0000 0.0047 0.0161 1.1742 0.0012 0.0077 0.0133 0.2659 0.0771 0.0150 0.1454 0.0767 0.8443 0.0889 0.3541 0.0000 0.0000
8.1 -1.80 -4.00 0.0226 0.0000 0.0446 0.0000 0.1251 0.0000 0.0000 0.0556 0.0811 0.0000 0.0000 0.0842 0.0199 0.0045 0.0118 0.0140 0.0020
8.1 -1.80 -3.75 0.0171 0.0000 0.0504 0.0015 0.1111 0.0000 0.0000 0.0834 0.1149 0.0000 0.0000 0.1183 0.0505 0.0111 0.0297 0.0137 0.0020
8.1 -1.80 -3.50 0.0122 0.0000 0.0554 0.0047 0.0930 0.0000 0.0000 0.1154 0.1527 0.0000 0.0017 0.1563 0.1214 0.0257 0.0713 0.0126 0.0018
8.1 -1.80 -3.25 0.0082 0.0000 0.0593 0.0135 0.0735 0.0000 0.0000 0.1483 0.1907 0.0000 0.0077 0.1941 0.2589 0.0517 0.1518 0.0102 0.0015
8.1 -1.80 -3.00 0.0052 0.0000 0.0616 0.0345 0.0543 0.0000 0.0000 0.1796 0.2217 0.0000 0.0234 0.2248 0.4406 0.0827 0.2578 0.0072 0.0010
8.1 -1.80 -2.75 0.0031 0.0000 0.0619 0.0776 0.0372 0.0000 0.0000 0.2070 0.2414 0.0000 0.0479 0.2440 0.6109 0.1088 0.3556 0.0046 0.0000
8.1 -1.80 -2.50 0.0018 0.0000 0.0596 0.1556 0.0239 0.0014 0.0000 0.2283 0.2473 0.0000 0.0772 0.2494 0.7386 0.1259 0.4257 0.0027 0.0000
8.1 -1.80 -2.25 0.0010 0.0019 0.0545 0.2792 0.0146 0.0031 0.0020 0.2427 0.2381 0.0022 0.1096 0.2395 0.8216 0.1339 0.4647 0.0015 0.0000
8.1 -1.80 -2.00 0.0000 0.0035 0.0471 0.4473 0.0087 0.0057 0.0047 0.2519 0.2148 0.0052 0.1457 0.2155 0.8693 0.1342 0.4770 0.0000 0.0000
8.1 -1.80 -1.75 0.0000 0.0057 0.0381 0.6450 0.0051 0.0094 0.0099 0.2573 0.1809 0.0111 0.1857 0.1810 0.8926 0.1278 0.4682 0.0000 0.0000
8.1 -1.80 -1.50 0.0000 0.0085 0.0288 0.8444 0.0030 0.0138 0.0194 0.2603 0.1414 0.0219 0.2282 0.1411 0.8948 0.1155 0.4417 0.0000 0.0000
8.1 -1.80 -1.25 0.0000 0.0112 0.0204 1.0172 0.0017 0.0181 0.0343 0.2620 0.1024 0.0389 0.2704 0.1019 0.8789 0.0994 0.4029 0.0000 0.0000
8.1 -1.80 -1.00 0.0000 0.0132 0.0136 1.1411 0.0010 0.0213 0.0535 0.2628 0.0690 0.0611 0.3039 0.0685 0.8448 0.0820 0.3562 0.0000 0.0000
8.1 -1.60 -4.00 0.0221 0.0000 0.0458 0.0000 0.1143 0.0000 0.0000 0.0760 0.0848 0.0000 0.0000 0.0880 0.0245 0.0050 0.0145 0.0142 0.0020
8.1 -1.60 -3.75 0.0165 0.0000 0.0516 0.0030 0.0966 0.0000 0.0000 0.1089 0.1199 0.0000 0.0000 0.1234 0.0625 0.0125 0.0369 0.0139 0.0020
8.1 -1.60 -3.50 0.0116 0.0000 0.0568 0.0088 0.0770 0.0000 0.0000 0.1433 0.1596 0.0000 0.0044 0.1630 0.1517 0.0293 0.0894 0.0126 0.0018
8.1 -1.60 -3.25 0.0076 0.0000 0.0606 0.0243 0.0587 0.0000 0.0000 0.1745 0.1978 0.0000 0.0199 0.2010 0.3123 0.0578 0.1838 0.0100 0.0014
8.1 -1.60 -3.00 0.0047 0.0000 0.0626 0.0607 0.0424 0.0000 0.0000 0.2020 0.2285 0.0000 0.0605 0.2311 0.5080 0.0905 0.2985 0.0068 0.0000
8.1 -1.60 -2.75 0.0028 0.0012 0.0611 0.1319 0.0284 0.0020 0.0019 0.2227 0.2436 0.0021 0.1263 0.2454 0.6712 0.1158 0.3928 0.0042 0.0000
8.1 -1.60 -2.50 0.0016 0.0030 0.0562 0.2516 0.0179 0.0049 0.0060 0.2375 0.2419 0.0067 0.2105 0.2429 0.7849 0.1312 0.4552 0.0024 0.0000
8.1 -1.60 -2.25 0.0000 0.0062 0.0484 0.4167 0.0107 0.0101 0.0155 0.2462 0.2225 0.0174 0.3062 0.2227 0.8533 0.1366 0.4862 0.0014 0.0000
8.1 -1.60 -2.00 0.0000 0.0113 0.0390 0.5992 0.0063 0.0182 0.0343 0.2503 0.1895 0.0387 0.4073 0.1892 0.8889 0.1333 0.4919 0.0000 0.0000
8.1 -1.60 -1.75 0.0000 0.0178 0.0294 0.7587 0.0036 0.0285 0.0650 0.2517 0.1502 0.0739 0.5090 0.1495 0.9007 0.1221 0.4771 0.0000 0.0000
8.1 -1.60 -1.50 0.0000 0.0247 0.0209 0.8708 0.0021 0.0394 0.1052 0.2519 0.1114 0.1207 0.6017 0.1107 0.8928 0.1045 0.4458 0.0000 0.0000
8.1 -1.60 -1.25 0.0000 0.0301 0.0143 0.9464 0.0012 0.0477 0.1452 0.2515 0.0778 0.1680 0.6688 0.0770 0.8670 0.0836 0.4027 0.0000 0.0000
8.1 -1.60 -1.00 0.0000 0.0315 0.0095 1.0065 0.0000 0.0496 0.1715 0.2503 0.0513 0.1999 0.6857 0.0507 0.8245 0.0631 0.3529 0.0000 0.0000
8.1 -1.40 -4.00 0.0210 0.0000 0.0487 0.0023 0.0928 0.0000 0.0000 0.1181 0.0944 0.0000 0.0000 0.0980 0.0355 0.0063 0.0212 0.0147 0.0021
8.1 -1.40 -3.75 0.0153 0.0000 0.0546 0.0067 0.0713 0.0000 0.0000 0.1553 0.1324 0.0000 0.0024 0.1360 0.0911 0.0158 0.0541 0.0142 0.0020
8.1 -1.40 -3.50 0.0103 0.0000 0.0597 0.0197 0.0520 0.0000 0.0000 0.1883 0.1746 0.0000 0.0145 0.1777 0.2185 0.0373 0.1295 0.0124 0.0018
8.1 -1.40 -3.25 0.0065 0.0000 0.0630 0.0536 0.0371 0.0000 0.0000 0.2134 0.2125 0.0000 0.0641 0.2148 0.4192 0.0710 0.2483 0.0093 0.0013
8.1 -1.40 -3.00 0.0038 0.0014 0.0629 0.1300 0.0254 0.0023 0.0035 0.2302 0.2374 0.0039 0.1888 0.2385 0.6189 0.1046 0.3663 0.0059 0.0000
8.1 -1.40 -2.75 0.0021 0.0040 0.0578 0.2671 0.0164 0.0064 0.0145 0.2387 0.2413 0.0162 0.3903 0.2411 0.7541 0.1269 0.4453 0.0035 0.0000
8.1 -1.40 -2.50 0.0011 0.0097 0.0482 0.4572 0.0099 0.0154 0.0454 0.2389 0.2209 0.0510 0.6393 0.2197 0.8279 0.1365 0.4855 0.0020 0.0000
8.1 -1.40 -2.25 0.0000 0.0191 0.0372 0.6432 0.0057 0.0303 0.1086 0.2336 0.1814 0.1232 0.8982 0.1797 0.8605 0.1346 0.4971 0.0011 0.0000
8.1 -1.40 -2.00 0.0000 0.0316 0.0268 0.7345 0.0033 0.0497 0.2003 0.2273 0.1351 0.2297 1.1221 0.1336 0.8633 0.1217 0.4859 0.0000 0.0000
8.1 -1.40 -1.75 0.0000 0.0448 0.0183 0.7167 0.0018 0.0699 0.2957 0.2222 0.0946 0.3427 1.2838 0.0933 0.8482 0.1006 0.4589 0.0000 0.0000
8.1 -1.40 -1.50 0.0000 0.0540 0.0122 0.6773 0.0010 0.0837 0.3580 0.2187 0.0650 0.4194 1.3472 0.0639 0.8176 0.0756 0.4191 0.0000 0.0000
8.1 -1.40 -1.25 0.0000 0.0532 0.0082 0.6835 0.0000 0.0820 0.3680 0.2156 0.0441 0.4330 1.3003 0.0434 0.7744 0.0522 0.3710 0.0000 0.0000
8.1 -1.40 -1.00 0.0000 0.0425 0.0055 0.7179 0.0000 0.0655 0.3408 0.2117 0.0289 0.3915 1.1665 0.0283 0.7258 0.0344 0.3210 0.0000 0.0000
8.1 -1.20 -4.00 0.0187 0.0000 0.0529 0.0047 0.0668 0.0000 0.0000 0.1667 0.1108 0.0000 0.0011 0.1147 0.0535 0.0086 0.0322 0.0152 0.0022
8.1 -1.20 -3.75 0.0133 0.0000 0.0586 0.0132 0.0468 0.0000 0.0000 0.2013 0.1516 0.0000 0.0064 0.1553 0.1309 0.0206 0.0784 0.0145 0.0021
8.1 -1.20 -3.50 0.0086 0.0000 0.0631 0.0384 0.0312 0.0000 0.0000 0.2271 0.1946 0.0000 0.0379 0.1972 0.2998 0.0474 0.1790 0.0121 0.0017
8.1 -1.20 -3.25 0.0053 0.0000 0.0650 0.1008 0.0208 0.0016 0.0026 0.2419 0.2271 0.0029 0.1580 0.2282 0.5141 0.0832 0.3066 0.0086 0.0012
8.1 -1.20 -3.00 0.0029 0.0031 0.0618 0.2350 0.0134 0.0050 0.0147 0.2442 0.2397 0.0165 0.4531 0.2389 0.6852 0.1142 0.4084 0.0052 0.0000
8.1 -1.20 -2.75 0.0015 0.0094 0.0515 0.4436 0.0081 0.0149 0.0632 0.2315 0.2223 0.0711 0.9122 0.2200 0.7600 0.1290 0.4525 0.0029 0.0000
8.1 -1.20 -2.50 0.0000 0.0220 0.0382 0.6449 0.0046 0.0346 0.1874 0.2082 0.1782 0.2133 1.4190 0.1754 0.7644 0.1281 0.4533 0.0017 0.0000
8.1 -1.20 -2.25 0.0000 0.0399 0.0264 0.6965 0.0025 0.0619 0.3825 0.1847 0.1226 0.4403 1.8335 0.1203 0.7365 0.1144 0.4323 0.0000 0.0000
8.1 -1.20 -2.00 0.0000 0.0579 0.0172 0.5664 0.0014 0.0890 0.5668 0.1678 0.0756 0.6603 2.0540 0.0741 0.6972 0.0919 0.4016 0.0000 0.0000
8.1 -1.20 -1.75 0.0000 0.0679 0.0108 0.4151 0.0000 0.1032 0.6496 0.1582 0.0468 0.7665 2.0382 0.0459 0.6537 0.0660 0.3652 0.0000 0.0000
8.1 -1.20 -1.50 0.0000 0.0612 0.0069 0.3512 0.0000 0.0924 0.6179 0.1535 0.0316 0.7277 1.8342 0.0309 0.6092 0.0429 0.3255 0.0000 0.0000
8.1 -1.20 -1.25 0.0000 0.0452 0.0046 0.3582 0.0000 0.0682 0.5158 0.1501 0.0220 0.5914 1.5757 0.0215 0.5671 0.0262 0.2850 0.0000 0.0000
8.1 -1.20 -1.00 0.0000 0.0337 0.0032 0.3924 0.0000 0.0512 0.3796 0.1487 0.0146 0.4236 1.3031 0.0142 0.5393 0.0158 0.2492 0.0000 0.0000
8.1 -1.00 -4.00 0.0064 0.0000 0.0244 0.0030 0.0209 0.0000 0.0000 0.0844 0.0557 0.0000 0.0000 0.0578 0.0324 0.0049 0.0199 0.0067 0.0000
8.1 -1.00 -3.75 0.0118 0.0000 0.0615 0.0181 0.0341 0.0000 0.0000 0.2268 0.1676 0.0000 0.0096 0.1714 0.1519 0.0230 0.0916 0.0148 0.0021
8.1 -1.00 -3.50 0.0075 0.0000 0.0651 0.0516 0.0216 0.0000 0.0000 0.2456 0.2083 0.0000 0.0559 0.2106 0.3325 0.0512 0.1996 0.0122 0.0017
8.1 -1.00 -3.25 0.0045 0.0013 0.0657 0.1351 0.0135 0.0021 0.0048 0.2522 0.2346 0.0053 0.2358 0.2349 0.5482 0.0877 0.3282 0.0083 0.0012
8.1 -1.00 -3.00 0.0024 0.0044 0.0603 0.3027 0.0082 0.0070 0.0277 0.2424 0.2347 0.0310 0.6669 0.2329 0.6838 0.1144 0.4088 0.0049 0.0000
8.1 -1.00 -2.75 0.0012 0.0133 0.0476 0.5247 0.0048 0.0210 0.1189 0.2132 0.2019 0.1347 1.3042 0.1989 0.6958 0.1207 0.4156 0.0029 0.0000
8.1 -1.00 -2.50 0.0000 0.0306 0.0331 0.6635 0.0027 0.0477 0.3356 0.1732 0.1458 0.3842 1.9284 0.1431 0.6390 0.1109 0.3808 0.0017 0.0000
8.1 -1.00 -2.25 0.0000 0.0519 0.0212 0.5794 0.0014 0.0800 0.6227 0.1376 0.0869 0.7213 2.3186 0.0851 0.5666 0.0912 0.3357 0.0000 0.0000
8.1 -1.00 -2.00 0.0000 0.0666 0.0126 0.3688 0.0000 0.1014 0.8080 0.1143 0.0461 0.9484 2.3390 0.0451 0.4982 0.0667 0.2917 0.0000 0.0000
8.1 -1.00 -1.75 0.0000 0.0623 0.0073 0.2263 0.0000 0.0935 0.7917 0.1027 0.0267 0.9410 2.0397 0.0262 0.4433 0.0438 0.2540 0.0000 0.0000
8.1 -1.00 -1.50 0.0000 0.0424 0.0045 0.1789 0.0000 0.0633 0.6617 0.0982 0.0181 0.7678 1.6689 0.0177 0.4049 0.0264 0.2239 0.0000 0.0000
8.1 -1.00 -1.25 0.0000 0.0288 0.0031 0.1917 0.0000 0.0430 0.4752 0.0988 0.0133 0.5346 1.3863 0.0130 0.3876 0.0154 0.2023 0.0000 0.0000
8.1 -1.00 -1.00 0.0000 0.0244 0.0023 0.2346 0.0000 0.0368 0.3057 0.1058 0.0092 0.3367 1.1184 0.0090 0.3998 0.0091 0.1895 0.0000 0.0000
8.4 -2.00 -4.00 0.0258 0.0000 0.0551 0.0000 0.2000 0.0000 0.0000 0.0745 0.1216 0.0000 0.0000 0.1262 0.0318 0.0074 0.0184 0.0205 0.0029
8.4 -2.00 -3.75 0.0179 0.0000 0.0626 0.0020 0.1763 0.0000 0.0000 0.1172 0.1786 0.0000 0.0000 0.1836 0.0901 0.0207 0.0517 0.0195 0.0028
8.4 -2.00 -3.50 0.0157 0.0000 0.0780 0.0072 0.1786 0.0000 0.0000 0.1850 0.2683 0.0000 0.0024 0.2746 0.2423 0.0509 0.1377 0.0201 0.0028
