#Cloudy 17.00 models results grids
# O/H: 8.1 - 9.0, log U: -4.0 - -1.0, alpha_OX = -2.0 - -1.0
# SED: AGN doubled peak power law, stopping criterion = 98% free electrons w/ dust grains
#plane-parallel geometry
12+log(O/H) a_ox log(U) ArII_7m ArV_8m	ArIII_9m SIV_10m NeII_12m ArV_13m NeV_14m NeIII_15m SIII_18m NeV_24m OIV_26m SIII_33m OIII_52m NIII_57m OIII_88m NII_122m NII_205m
8.1 -2.00 -4.00 0.0226 0.0000 0.0443 0.0000 0.1289 0.0000 0.0000 0.0483 0.0802 0.0000 0.0000 0.0832 0.0184 0.0043 0.0109 0.0140 0.0020
8.1 -2.00 -3.75 0.0174 0.0000 0.0500 0.0010 0.1169 0.0000 0.0000 0.0736 0.1127 0.0000 0.0000 0.1162 0.0451 0.0103 0.0265 0.0138 0.0020
8.1 -2.00 -3.50 0.0124 0.0000 0.0551 0.0034 0.0995 0.0000 0.0000 0.1045 0.1510 0.0000 0.0010 0.1546 0.1108 0.0245 0.0650 0.0127 0.0018
8.1 -2.00 -3.25 0.0084 0.0000 0.0591 0.0100 0.0800 0.0000 0.0000 0.1379 0.1889 0.0000 0.0046 0.1924 0.2379 0.0494 0.1395 0.0104 0.0015
8.1 -2.00 -3.00 0.0054 0.0000 0.0618 0.0258 0.0600 0.0000 0.0000 0.1712 0.2207 0.0000 0.0140 0.2239 0.4120 0.0798 0.2411 0.0075 0.0011
8.1 -2.00 -2.75 0.0033 0.0000 0.0629 0.0580 0.0420 0.0000 0.0000 0.2012 0.2425 0.0000 0.0289 0.2453 0.5797 0.1058 0.3382 0.0050 0.0000
8.1 -2.00 -2.50 0.0020 0.0000 0.0622 0.1161 0.0278 0.0000 0.0000 0.2255 0.2532 0.0000 0.0481 0.2554 0.7121 0.1237 0.4130 0.0031 0.0000
8.1 -2.00 -2.25 0.0012 0.0000 0.0595 0.2087 0.0177 0.0000 0.0000 0.2434 0.2525 0.0000 0.0735 0.2539 0.8053 0.1340 0.4623 0.0020 0.0000
8.1 -2.00 -2.00 0.0000 0.0012 0.0550 0.3388 0.0112 0.0019 0.0011 0.2556 0.2406 0.0013 0.1109 0.2413 0.8666 0.1376 0.4909 0.0012 0.0000
8.1 -2.00 -1.75 0.0000 0.0022 0.0491 0.5004 0.0071 0.0036 0.0030 0.2633 0.2193 0.0034 0.1697 0.2192 0.9049 0.1355 0.5046 0.0000 0.0000
8.1 -2.00 -1.50 0.0000 0.0040 0.0422 0.6767 0.0046 0.0065 0.0081 0.2670 0.1914 0.0091 0.2647 0.1907 0.9267 0.1283 0.5086 0.0000 0.0000
8.1 -2.00 -1.25 0.0000 0.0072 0.0352 0.8387 0.0030 0.0116 0.0215 0.2666 0.1609 0.0243 0.4155 0.1598 0.9326 0.1166 0.5045 0.0000 0.0000
8.1 -2.00 -1.00 0.0000 0.0128 0.0286 0.9531 0.0020 0.0204 0.0548 0.2606 0.1310 0.0625 0.6455 0.1296 0.9220 0.1017 0.4932 0.0000 0.0000
8.1 -1.80 -4.00 0.0225 0.0000 0.0447 0.0000 0.1250 0.0000 0.0000 0.0557 0.0814 0.0000 0.0000 0.0845 0.0199 0.0045 0.0118 0.0140 0.0020
8.1 -1.80 -3.75 0.0171 0.0000 0.0505 0.0015 0.1112 0.0000 0.0000 0.0835 0.1149 0.0000 0.0000 0.1183 0.0495 0.0109 0.0292 0.0138 0.0020
8.1 -1.80 -3.50 0.0121 0.0000 0.0555 0.0047 0.0929 0.0000 0.0000 0.1159 0.1534 0.0000 0.0017 0.1570 0.1211 0.0257 0.0712 0.0126 0.0018
8.1 -1.80 -3.25 0.0081 0.0000 0.0596 0.0135 0.0734 0.0000 0.0000 0.1492 0.1917 0.0000 0.0079 0.1951 0.2586 0.0518 0.1518 0.0103 0.0015
8.1 -1.80 -3.00 0.0052 0.0000 0.0621 0.0337 0.0547 0.0000 0.0000 0.1806 0.2225 0.0000 0.0241 0.2256 0.4345 0.0820 0.2547 0.0074 0.0011
8.1 -1.80 -2.75 0.0032 0.0000 0.0628 0.0748 0.0380 0.0000 0.0000 0.2084 0.2435 0.0000 0.0520 0.2460 0.6026 0.1081 0.3522 0.0049 0.0000
8.1 -1.80 -2.50 0.0020 0.0000 0.0613 0.1463 0.0249 0.0014 0.0000 0.2302 0.2523 0.0000 0.0905 0.2540 0.7304 0.1257 0.4245 0.0031 0.0000
8.1 -1.80 -2.25 0.0012 0.0018 0.0576 0.2556 0.0158 0.0030 0.0025 0.2456 0.2486 0.0028 0.1445 0.2495 0.8193 0.1354 0.4718 0.0019 0.0000
8.1 -1.80 -2.00 0.0000 0.0036 0.0521 0.3993 0.0099 0.0059 0.0069 0.2549 0.2332 0.0077 0.2235 0.2333 0.8743 0.1380 0.4972 0.0012 0.0000
8.1 -1.80 -1.75 0.0000 0.0067 0.0454 0.5638 0.0063 0.0109 0.0181 0.2589 0.2084 0.0204 0.3444 0.2077 0.9054 0.1345 0.5078 0.0000 0.0000
8.1 -1.80 -1.50 0.0000 0.0119 0.0380 0.7209 0.0040 0.0191 0.0459 0.2571 0.1774 0.0520 0.5323 0.1761 0.9165 0.1256 0.5074 0.0000 0.0000
8.1 -1.80 -1.25 0.0000 0.0204 0.0308 0.8229 0.0026 0.0322 0.1079 0.2485 0.1438 0.1233 0.8113 0.1422 0.9040 0.1117 0.4955 0.0000 0.0000
8.1 -1.80 -1.00 0.0000 0.0329 0.0242 0.8172 0.0017 0.0514 0.2260 0.2312 0.1111 0.2610 1.1848 0.1094 0.8612 0.0945 0.4698 0.0000 0.0000
8.1 -1.60 -4.00 0.0220 0.0000 0.0458 0.0000 0.1140 0.0000 0.0000 0.0761 0.0851 0.0000 0.0000 0.0883 0.0244 0.0050 0.0145 0.0142 0.0020
8.1 -1.60 -3.75 0.0167 0.0000 0.0517 0.0029 0.0969 0.0000 0.0000 0.1091 0.1195 0.0000 0.0000 0.1231 0.0605 0.0121 0.0357 0.0140 0.0020
8.1 -1.60 -3.50 0.0117 0.0000 0.0569 0.0085 0.0774 0.0000 0.0000 0.1437 0.1593 0.0000 0.0042 0.1628 0.1473 0.0285 0.0869 0.0127 0.0018
8.1 -1.60 -3.25 0.0076 0.0000 0.0608 0.0243 0.0585 0.0000 0.0000 0.1754 0.1987 0.0000 0.0202 0.2018 0.3114 0.0578 0.1834 0.0100 0.0014
8.1 -1.60 -3.00 0.0048 0.0000 0.0628 0.0589 0.0425 0.0000 0.0000 0.2022 0.2283 0.0000 0.0616 0.2307 0.4975 0.0891 0.2928 0.0070 0.0000
