#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584
7.1 100000 -2.09 0.1221 0.9848 0.0250 0.0198 0.0132 0.0339 0.0094 0.1136 0.0045 0.0084 0.0048
7.1 100000 -1.85 0.1025 0.9570 0.0212 0.0178 0.0121 0.0310 0.0086 0.1289 0.0048 0.0075 0.0040
7.1 100000 -1.60 0.0876 0.9035 0.0182 0.0158 0.0109 0.0280 0.0078 0.1454 0.0050 0.0067 0.0034
7.1 120000 -4.00 0.5281 0.0348 0.1889 0.0109 0.0249 0.0635 0.0179 0.0542 0.0000 0.0099 0.0289
7.1 120000 -3.76 0.5688 0.1125 0.1521 0.0150 0.0217 0.0555 0.0156 0.0697 0.0000 0.0106 0.0277
7.1 120000 -3.52 0.5147 0.2947 0.1169 0.0199 0.0190 0.0485 0.0136 0.0863 0.0000 0.0115 0.0230
7.1 120000 -3.28 0.3948 0.5310 0.0861 0.0242 0.0170 0.0433 0.0122 0.0988 0.0000 0.0122 0.0169
7.1 120000 -3.04 0.2872 0.7174 0.0614 0.0255 0.0155 0.0397 0.0111 0.1065 0.0013 0.0117 0.0119
7.1 120000 -2.82 0.2217 0.7936 0.0466 0.0242 0.0145 0.0370 0.0103 0.1133 0.0025 0.0105 0.0091
7.1 120000 -2.58 0.1761 0.8281 0.0367 0.0222 0.0134 0.0342 0.0095 0.1229 0.0033 0.0095 0.0071
7.1 120000 -2.34 0.1431 0.8346 0.0299 0.0202 0.0123 0.0314 0.0087 0.1353 0.0038 0.0085 0.0058
7.1 120000 -2.10 0.1184 0.8133 0.0248 0.0182 0.0111 0.0284 0.0079 0.1499 0.0041 0.0076 0.0048
7.1 120000 -1.86 0.0991 0.7662 0.0208 0.0161 0.0099 0.0253 0.0070 0.1663 0.0043 0.0068 0.0040
7.1 120000 -1.62 0.0844 0.7009 0.0177 0.0143 0.0087 0.0222 0.0062 0.1833 0.0043 0.0060 0.0034
7.4 30000 -3.99 0.4743 0.0000 0.1951 0.0013 0.0000 0.0025 0.0000 0.0000 0.0000 0.0000 0.0267
7.4 30000 -3.74 0.5693 0.0000 0.2009 0.0023 0.0011 0.0028 0.0000 0.0000 0.0000 0.0000 0.0295
7.4 30000 -3.51 0.6381 0.0000 0.1863 0.0050 0.0012 0.0030 0.0000 0.0000 0.0000 0.0000 0.0309
7.4 30000 -3.27 0.7271 0.0000 0.1738 0.0086 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000 0.0331
7.4 30000 -3.04 0.7823 0.0000 0.1472 0.0134 0.0013 0.0033 0.0000 0.0000 0.0000 0.0000 0.0343
7.4 30000 -2.79 0.7978 0.0000 0.1131 0.0183 0.0015 0.0038 0.0011 0.0000 0.0000 0.0000 0.0342
7.4 30000 -2.54 0.7859 0.0028 0.0840 0.0218 0.0018 0.0046 0.0013 0.0000 0.0000 0.0000 0.0329
7.4 30000 -2.29 0.7644 0.0082 0.0616 0.0239 0.0022 0.0057 0.0017 0.0000 0.0000 0.0013 0.0309
7.4 30000 -2.03 0.7410 0.0193 0.0452 0.0251 0.0028 0.0072 0.0021 0.0000 0.0000 0.0017 0.0286
7.4 30000 -1.78 0.7170 0.0352 0.0335 0.0257 0.0034 0.0090 0.0025 0.0000 0.0000 0.0022 0.0263
7.4 30000 -1.53 0.6906 0.0562 0.0247 0.0260 0.0042 0.0109 0.0031 0.0000 0.0000 0.0028 0.0237
7.4 32500 -3.99 0.6449 0.0000 0.2490 0.0029 0.0027 0.0068 0.0020 0.0000 0.0000 0.0000 0.0350
7.4 32500 -3.74 0.7767 0.0000 0.2512 0.0052 0.0029 0.0075 0.0022 0.0000 0.0000 0.0012 0.0389
7.4 32500 -3.51 0.9562 0.0000 0.2435 0.0107 0.0040 0.0104 0.0030 0.0000 0.0000 0.0019 0.0441
7.4 32500 -3.28 1.1380 0.0012 0.2211 0.0177 0.0042 0.0108 0.0031 0.0000 0.0000 0.0023 0.0485
7.4 32500 -3.05 1.3108 0.0041 0.1853 0.0264 0.0045 0.0115 0.0033 0.0000 0.0000 0.0028 0.0519
7.4 32500 -2.79 1.4408 0.0162 0.1390 0.0355 0.0050 0.0128 0.0036 0.0000 0.0000 0.0036 0.0527
7.4 32500 -2.55 1.4854 0.0453 0.1039 0.0416 0.0058 0.0149 0.0042 0.0000 0.0000 0.0045 0.0507
7.4 32500 -2.29 1.4846 0.0967 0.0776 0.0459 0.0069 0.0177 0.0050 0.0000 0.0000 0.0056 0.0475
7.4 32500 -2.04 1.4561 0.1683 0.0582 0.0491 0.0082 0.0212 0.0060 0.0000 0.0000 0.0070 0.0435
7.4 32500 -1.79 1.4086 0.2552 0.0442 0.0513 0.0097 0.0250 0.0071 0.0000 0.0000 0.0086 0.0388
7.4 32500 -1.54 1.3373 0.3657 0.0336 0.0530 0.0112 0.0291 0.0081 0.0000 0.0000 0.0104 0.0332
7.4 35000 -3.99 0.7859 0.0000 0.2764 0.0059 0.0062 0.0159 0.0045 0.0000 0.0000 0.0023 0.0412
7.4 35000 -3.74 0.9481 0.0000 0.2682 0.0101 0.0070 0.0179 0.0051 0.0000 0.0000 0.0030 0.0456
7.4 35000 -3.51 1.1904 0.0040 0.2486 0.0187 0.0110 0.0282 0.0080 0.0000 0.0000 0.0058 0.0518
7.4 35000 -3.27 1.4330 0.0151 0.2122 0.0290 0.0115 0.0296 0.0083 0.0000 0.0000 0.0073 0.0556
7.4 35000 -3.03 1.6031 0.0318 0.1735 0.0373 0.0082 0.0211 0.0060 0.0000 0.0000 0.0061 0.0579
7.4 35000 -2.79 1.8222 0.1705 0.1261 0.0518 0.0131 0.0337 0.0095 0.0000 0.0000 0.0115 0.0520
7.4 35000 -2.55 1.8157 0.3584 0.0940 0.0601 0.0146 0.0375 0.0105 0.0000 0.0000 0.0140 0.0459
7.4 35000 -2.29 1.7246 0.5832 0.0701 0.0663 0.0164 0.0421 0.0118 0.0000 0.0000 0.0167 0.0389
7.4 35000 -2.04 1.5863 0.8299 0.0527 0.0711 0.0181 0.0466 0.0130 0.0000 0.0000 0.0194 0.0315
7.4 35000 -1.79 1.4221 1.0884 0.0404 0.0747 0.0194 0.0501 0.0140 0.0000 0.0000 0.0217 0.0248
7.4 35000 -1.54 1.2436 1.3603 0.0314 0.0775 0.0200 0.0518 0.0144 0.0000 0.0000 0.0233 0.0192
7.4 37500 -3.99 0.8687 0.0020 0.2751 0.0099 0.0141 0.0362 0.0103 0.0000 0.0000 0.0061 0.0442
7.4 37500 -3.74 1.0496 0.0070 0.2528 0.0161 0.0157 0.0403 0.0114 0.0000 0.0000 0.0079 0.0484
7.4 37500 -3.51 1.2777 0.0207 0.2217 0.0258 0.0179 0.0459 0.0129 0.0000 0.0000 0.0107 0.0523
7.4 37500 -3.27 1.4966 0.0768 0.1770 0.0375 0.0189 0.0485 0.0136 0.0000 0.0000 0.0134 0.0515
7.4 37500 -3.03 1.6225 0.2460 0.1323 0.0497 0.0197 0.0504 0.0141 0.0000 0.0000 0.0163 0.0448
7.4 37500 -2.79 1.5571 0.5628 0.0959 0.0604 0.0203 0.0519 0.0145 0.0000 0.0000 0.0190 0.0360
7.4 37500 -2.54 1.3846 0.9207 0.0701 0.0683 0.0206 0.0529 0.0148 0.0000 0.0000 0.0213 0.0281
7.4 37500 -2.29 1.1960 1.2575 0.0525 0.0737 0.0208 0.0535 0.0149 0.0000 0.0000 0.0230 0.0218
7.4 37500 -2.04 1.0141 1.5737 0.0407 0.0775 0.0209 0.0537 0.0150 0.0000 0.0000 0.0243 0.0168
7.4 37500 -1.79 0.8454 1.8780 0.0325 0.0798 0.0208 0.0538 0.0150 0.0000 0.0000 0.0253 0.0131
7.4 37500 -1.54 0.7033 2.1635 0.0268 0.0811 0.0207 0.0537 0.0150 0.0000 0.0000 0.0261 0.0104
7.4 40000 -4.00 0.9814 0.0127 0.2776 0.0165 0.0211 0.0541 0.0153 0.0000 0.0000 0.0109 0.0485
7.4 40000 -3.75 1.1642 0.0455 0.2372 0.0250 0.0214 0.0549 0.0155 0.0000 0.0000 0.0130 0.0509
7.4 40000 -3.51 1.3505 0.0926 0.1907 0.0352 0.0213 0.0545 0.0154 0.0000 0.0000 0.0148 0.0502
7.4 40000 -3.27 1.4294 0.2957 0.1433 0.0472 0.0214 0.0548 0.0154 0.0000 0.0000 0.0174 0.0427
7.4 40000 -3.02 1.2872 0.7226 0.1019 0.0591 0.0214 0.0548 0.0154 0.0000 0.0000 0.0201 0.0316
7.4 40000 -2.78 1.0516 1.2123 0.0740 0.0684 0.0214 0.0548 0.0153 0.0000 0.0000 0.0224 0.0231
7.4 40000 -2.53 0.8429 1.6552 0.0554 0.0745 0.0213 0.0546 0.0153 0.0000 0.0000 0.0242 0.0173
7.4 40000 -2.28 0.6826 2.0268 0.0437 0.0775 0.0212 0.0545 0.0152 0.0000 0.0000 0.0254 0.0134
7.4 40000 -2.03 0.5595 2.3508 0.0361 0.0785 0.0210 0.0542 0.0151 0.0000 0.0000 0.0262 0.0107
7.4 40000 -1.77 0.4573 2.6703 0.0305 0.0781 0.0209 0.0539 0.0150 0.0000 0.0015 0.0267 0.0086
7.4 40000 -1.52 0.3803 2.9629 0.0266 0.0764 0.0207 0.0535 0.0149 0.0000 0.0022 0.0267 0.0072
7.4 45000 -4.00 1.0320 0.0195 0.2807 0.0194 0.0225 0.0575 0.0163 0.0000 0.0000 0.0121 0.0507
7.4 45000 -3.75 1.2112 0.0693 0.2344 0.0286 0.0224 0.0573 0.0162 0.0000 0.0000 0.0142 0.0525
7.4 45000 -3.50 1.3915 0.1422 0.1789 0.0398 0.0220 0.0563 0.0159 0.0000 0.0000 0.0163 0.0502
7.4 45000 -3.26 1.3956 0.4333 0.1315 0.0519 0.0219 0.0560 0.0158 0.0000 0.0000 0.0188 0.0406
7.4 45000 -3.02 1.1806 0.9354 0.0939 0.0631 0.0218 0.0557 0.0156 0.0000 0.0000 0.0212 0.0294
7.4 45000 -2.77 0.9274 1.4769 0.0686 0.0717 0.0216 0.0554 0.0155 0.0000 0.0000 0.0233 0.0213
7.4 45000 -2.53 0.7386 1.9311 0.0532 0.0764 0.0215 0.0551 0.0154 0.0000 0.0000 0.0244 0.0162
7.4 45000 -2.28 0.5956 2.3198 0.0431 0.0781 0.0213 0.0548 0.0153 0.0000 0.0016 0.0248 0.0127
7.4 45000 -2.02 0.4840 2.6713 0.0362 0.0777 0.0212 0.0545 0.0152 0.0000 0.0025 0.0247 0.0102
7.4 45000 -1.77 0.3980 2.9937 0.0314 0.0758 0.0210 0.0541 0.0151 0.0000 0.0037 0.0242 0.0084
7.4 45000 -1.52 0.3318 3.2906 0.0280 0.0729 0.0207 0.0537 0.0150 0.0000 0.0050 0.0233 0.0071
7.4 50000 -4.00 1.0450 0.0299 0.2922 0.0204 0.0235 0.0600 0.0170 0.0000 0.0000 0.0130 0.0517
