12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -4.0000000 	 0.1127000 	 0.0199000 	 0.0000000 	 0.0104000 	 0.0000000 	 0.0014000 	 0.0051000 	 0.2061000 	 0.0059000 	 0.0235000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.1274000 	 0.0226000 	 0.0000000 	 0.0380000 	 0.0000000 	 0.0018000 	 0.0053000 	 0.1738000 	 0.0086000 	 0.0255000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.1244000 	 0.0262000 	 0.0020000 	 0.1138000 	 0.0000000 	 0.0021000 	 0.0050000 	 0.1451000 	 0.0092000 	 0.0273000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.1021000 	 0.0306000 	 0.0048000 	 0.2281000 	 0.0000000 	 0.0026000 	 0.0042000 	 0.1185000 	 0.0080000 	 0.0283000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0781000 	 0.0344000 	 0.0083000 	 0.3277000 	 0.0000000 	 0.0029000 	 0.0035000 	 0.0955000 	 0.0054000 	 0.0277000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0585000 	 0.0356000 	 0.0113000 	 0.3814000 	 0.0000000 	 0.0039000 	 0.0030000 	 0.0797000 	 0.0040000 	 0.0255000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0438000 	 0.0336000 	 0.0130000 	 0.3835000 	 0.0000000 	 0.0036000 	 0.0026000 	 0.0696000 	 0.0014000 	 0.0221000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0339000 	 0.0299000 	 0.0129000 	 0.3404000 	 0.0000000 	 0.0030000 	 0.0024000 	 0.0644000 	 0.0011000 	 0.0188000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0280000 	 0.0260000 	 0.0108000 	 0.2644000 	 0.0000000 	 0.0026000 	 0.0024000 	 0.0646000 	 0.0000000 	 0.0171000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0253000 	 0.0228000 	 0.0075000 	 0.1772000 	 0.0000000 	 0.0024000 	 0.0024000 	 0.0723000 	 0.0000000 	 0.0177000
6.9000000 	 -2.0000000 	 -1.5000000 	 0.0251000 	 0.0207000 	 0.0043000 	 0.1012000 	 0.0000000 	 0.0025000 	 0.0025000 	 0.0941000 	 0.0000000 	 0.0208000
6.9000000 	 -2.0000000 	 -1.2500000 	 0.0264000 	 0.0188000 	 0.0021000 	 0.0490000 	 0.0000000 	 0.0016000 	 0.0025000 	 0.1590000 	 0.0000000 	 0.0242000
6.9000000 	 -2.0000000 	 -1.0000000 	 0.0282000 	 0.0170000 	 0.0000000 	 0.0217000 	 0.0000000 	 0.0016000 	 0.0026000 	 0.2318000 	 0.0000000 	 0.0244000
6.9000000 	 -2.0000000 	 -0.7500000 	 0.0266000 	 0.0152000 	 0.0018000 	 0.0220000 	 0.0000000 	 0.0015000 	 0.0025000 	 0.2907000 	 0.0000000 	 0.0233000
6.9000000 	 -2.0000000 	 -0.5000000 	 0.0296000 	 0.0146000 	 0.0010000 	 0.0126000 	 0.0000000 	 0.0016000 	 0.0027000 	 0.3373000 	 0.0000000 	 0.0227000
6.9000000 	 -1.8750000 	 -4.0000000 	 0.1127000 	 0.0199000 	 0.0000000 	 0.0104000 	 0.0000000 	 0.0014000 	 0.0068000 	 0.2061000 	 0.0059000 	 0.0235000
