12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 OIII_5007       	 NII_5755        	 SIII_6312       	 NII_6584        	 SII_6717,31     	 OII_7325        	 SIII_9069      
6.9000000 	 -2.0000000 	 -4.0000000 	 0.1877000 	 0.0172000 	 0.0000000 	 0.0262000 	 0.0000000 	 0.0000000 	 0.0058000 	 0.0705000 	 0.0129000 	 0.0086000
6.9000000 	 -2.0000000 	 -3.7500000 	 0.2020000 	 0.0216000 	 0.0010000 	 0.0724000 	 0.0000000 	 0.0013000 	 0.0058000 	 0.0586000 	 0.0151000 	 0.0116000
6.9000000 	 -2.0000000 	 -3.5000000 	 0.1870000 	 0.0268000 	 0.0033000 	 0.1914000 	 0.0000000 	 0.0031000 	 0.0050000 	 0.0449000 	 0.0153000 	 0.0148000
6.9000000 	 -2.0000000 	 -3.2500000 	 0.1394000 	 0.0320000 	 0.0074000 	 0.3592000 	 0.0000000 	 0.0039000 	 0.0036000 	 0.0316000 	 0.0123000 	 0.0172000
6.9000000 	 -2.0000000 	 -3.0000000 	 0.0920000 	 0.0359000 	 0.0122000 	 0.4949000 	 0.0000000 	 0.0043000 	 0.0023000 	 0.0200000 	 0.0086000 	 0.0174000
6.9000000 	 -2.0000000 	 -2.7500000 	 0.0594000 	 0.0359000 	 0.0160000 	 0.5522000 	 0.0000000 	 0.0042000 	 0.0014000 	 0.0116000 	 0.0050000 	 0.0152000
6.9000000 	 -2.0000000 	 -2.5000000 	 0.0387000 	 0.0317000 	 0.0179000 	 0.5386000 	 0.0000000 	 0.0037000 	 0.0000000 	 0.0063000 	 0.0016000 	 0.0112000
6.9000000 	 -2.0000000 	 -2.2500000 	 0.0253000 	 0.0256000 	 0.0177000 	 0.4745000 	 0.0000000 	 0.0029000 	 0.0000000 	 0.0032000 	 0.0011000 	 0.0068000
6.9000000 	 -2.0000000 	 -2.0000000 	 0.0170000 	 0.0192000 	 0.0150000 	 0.3735000 	 0.0000000 	 0.0015000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0036000
6.9000000 	 -2.0000000 	 -1.7500000 	 0.0120000 	 0.0133000 	 0.0109000 	 0.2610000 	 0.0000000 	 0.0016000 	 0.0000000 	 0.0000000 	 0.0000000 	 0.0018000
